date,open,high,low,close,volume,currency_volume
2023-03-17 18:00:00+08:00,1719.79,1775.72,1699.1,1744.51,37642577,376425.77
2023-03-17 17:00:00+08:00,1713.75,1726.13,1680.74,1719.99,9070450,90704.5
2023-03-17 16:00:00+08:00,1716.05,1733.0,1687.0,1713.81,14468519,144685.19
2023-03-17 15:00:00+08:00,1724.51,1735.0,1700.0,1716.02,19475094,194750.94
2023-03-17 14:00:00+08:00,1702.82,1735.0,1671.42,1724.51,24588922,245889.22
2023-03-17 13:00:00+08:00,1703.12,1716.66,1694.66,1702.82,11651849,116518.49
2023-03-17 12:00:00+08:00,1708.25,1720.0,1695.0,1703.14,11645651,116456.51
2023-03-17 11:00:00+08:00,1703.56,1742.12,1699.82,1708.19,14601594,146015.94
2023-03-17 10:00:00+08:00,1695.23,1791.17,1672.57,1703.56,91605955,916059.55
2023-03-17 09:00:00+08:00,1665.24,1699.0,1649.99,1695.38,20871999,208719.99
2023-03-17 08:00:00+08:00,1673.29,1682.85,1655.0,1665.42,9230628,92306.28
2023-03-17 07:00:00+08:00,1672.57,1680.0,1636.59,1673.27,10617974,106179.74
